path,seed,s_final,err_real_mean,err_dos_mean,err_fdi_mean,time_in_dt_ratio,tube_violations,dos_windows,fdi_windows
freehand_20250908_111208_01,36605913,0.7129035276375222,0.053327833024090894,2.3996172262347013,3.139300974674265,0.6225,41,6,6
freehand_20250908_111208_01,223429503,0.6257956763231743,0.05405465714845382,0.3949616166526266,1.1843842585082875,0.5525,0,5,4
freehand_20250908_111208_01,13530254,0.7500901295704402,0.05102959533194396,0.613431490676311,1.5922447293629223,0.50625,0,4,5
freehand_20250908_111208_01,67036887,0.7712965693182292,0.04972906275383094,1.3145557762359659,1.7438869289153096,0.5308333333333334,12,6,5
freehand_20250908_111208_01,341849256,0.7306240353592398,0.038246988051689364,2.021424549334624,0.9241846106453937,0.49666666666666665,0,4,5
freehand_20250908_111208_01,925134296,0.7115959780865349,0.048334774835473396,2.137321038146875,2.2538272651602305,0.5620833333333334,7,5,6
freehand_20250908_111215_02,457703562,0.588134172738497,0.5679465173159802,1.5168569838364796,2.457860007503437,0.5495833333333333,1064,5,6
freehand_20250908_111215_02,533902445,0.588134172738497,0.6908892127303837,1.1162762074815933,2.2243301787982914,0.5679166666666666,1139,5,6
freehand_20250908_111215_02,494309268,0.588134172738497,0.695222010057793,2.6163362900462306,1.6899886784096234,0.47333333333333333,1255,5,4
freehand_20250908_111215_02,903857472,0.588134172738497,0.7701592130521571,3.632576248509951,1.9119180049353748,0.43333333333333335,1025,5,4
freehand_20250908_111215_02,733137312,0.588134172738497,0.7051485071951326,1.586958902476006,2.3507758017978118,0.6020833333333333,1123,5,6
freehand_20250908_111215_02,521181308,0.588134172738497,0.6731871328115063,1.7184561625263306,1.7178614445919511,0.5104166666666666,1186,5,4
freehand_20250908_111215_02,59590843,0.588134172738497,0.682815658375951,2.459493951965961,1.527642703128059,0.6179166666666667,1030,6,5
freehand_20250908_111215_02,549780477,0.588134172738497,0.5590006762494001,0.8300701745825197,0.8540082660408621,0.4791666666666667,1084,5,3
freehand_20250908_111215_02,904982168,0.588134172738497,0.8037928165942899,3.708006411777052,2.0100630387823926,0.6425,1092,5,5
freehand_20250908_111215_02,327696797,0.588134172738497,0.7062740393956206,3.971203160153788,1.749642390817919,0.5008333333333334,945,5,4
